user_id,n_skills,n_mastered_in_path,pct_wasted
77966,8,6,75.0
77967,12,7,58.333333333333336
77970,8,4,50.0
77973,6,3,50.0
77990,7,4,57.14285714285714
77991,7,4,57.14285714285714
77992,4,3,75.0
77993,5,4,80.0
77994,7,4,57.14285714285714
77997,6,5,83.33333333333334
77998,5,4,80.0
77999,5,3,60.0
78000,5,4,80.0
78001,5,4,80.0
78002,5,4,80.0
78003,6,5,83.33333333333334
78004,5,4,80.0
78005,5,4,80.0
78006,7,4,57.14285714285714
78007,4,3,75.0
78010,5,4,80.0
78011,6,5,83.33333333333334
78012,6,5,83.33333333333334
78013,6,5,83.33333333333334
78016,6,5,83.33333333333334
78017,6,5,83.33333333333334
78018,5,4,80.0
78019,6,5,83.33333333333334
78020,6,5,83.33333333333334
78021,5,4,80.0
78022,6,5,83.33333333333334
78023,6,5,83.33333333333334
78024,6,5,83.33333333333334
78026,6,5,83.33333333333334
78027,6,5,83.33333333333334
78028,6,5,83.33333333333334
78029,5,4,80.0
78030,6,5,83.33333333333334
78031,6,5,83.33333333333334
78032,6,5,83.33333333333334
78033,5,3,60.0
78034,13,9,69.23076923076923
78035,6,5,83.33333333333334
78037,14,10,71.42857142857143
78038,15,10,66.66666666666666
78039,15,11,73.33333333333333
78040,15,11,73.33333333333333
78041,15,12,80.0
78042,16,11,68.75
78043,14,11,78.57142857142857
78044,18,10,55.55555555555556
78045,14,10,71.42857142857143
78046,14,10,71.42857142857143
78047,9,5,55.55555555555556
78048,16,10,62.5
78049,17,11,64.70588235294117
78051,12,8,66.66666666666666
78052,19,12,63.1578947368421
78061,16,12,75.0
78062,5,4,80.0
78073,69,65,94.20289855072464
78090,4,3,75.0
78091,5,4,80.0
78092,5,4,80.0
78093,4,4,100.0
78094,5,5,100.0
78095,4,3,75.0
78097,4,2,50.0
78098,3,3,100.0
78099,4,4,100.0
78100,3,3,100.0
78102,3,3,100.0
78103,3,2,66.66666666666666
78105,3,3,100.0
78106,4,1,25.0
78107,5,5,100.0
78108,4,2,50.0
78110,6,5,83.33333333333334
78137,12,5,41.66666666666667
78154,22,16,72.72727272727273
78155,7,4,57.14285714285714
78157,25,21,84.0
78158,24,16,66.66666666666666
78160,24,18,75.0
78161,26,12,46.15384615384615
78163,27,18,66.66666666666666
78164,19,12,63.1578947368421
78166,21,11,52.38095238095239
78167,23,19,82.6086956521739
78168,20,12,60.0
78169,26,18,69.23076923076923
78171,23,18,78.26086956521739
78173,25,13,52.0
78174,20,15,75.0
78175,20,15,75.0
78176,23,15,65.21739130434783
78178,29,20,68.96551724137932
78184,21,11,52.38095238095239
78202,3,2,66.66666666666666
78204,3,3,100.0
78206,4,3,75.0
78207,3,0,0.0
78208,4,3,75.0
78209,3,3,100.0
78210,3,3,100.0
78211,4,4,100.0
78212,4,1,25.0
78213,2,1,50.0
78214,3,3,100.0
78215,2,1,50.0
78216,3,3,100.0
78217,3,3,100.0
78218,4,3,75.0
78219,4,2,50.0
78220,5,5,100.0
78228,1,1,100.0
78235,1,1,100.0
78256,1,1,100.0
78265,19,12,63.1578947368421
78266,23,14,60.86956521739131
78267,24,22,91.66666666666666
78268,12,10,83.33333333333334
78269,24,17,70.83333333333334
78270,30,25,83.33333333333334
78271,4,3,75.0
78272,28,20,71.42857142857143
78273,8,4,50.0
78274,20,13,65.0
78275,11,7,63.63636363636363
78276,19,10,52.63157894736842
78277,30,22,73.33333333333333
78278,25,20,80.0
78279,20,14,70.0
78280,25,17,68.0
78281,21,12,57.14285714285714
78282,28,20,71.42857142857143
78283,26,17,65.38461538461539
78284,21,12,57.14285714285714
78285,25,17,68.0
78286,26,15,57.692307692307686
